Organization,Activity Code,ST Number,OP Number,Description,Status,Contact Name,Organization of Contact,Contact Address,Commodity,Target Technology(ies),Contact Email Address,Contact Phone Number,Activity Budget,Reporting Organization,Reporting Organization Type,Website,AES,Agro-ecological zone (AEZ),SLO,Theme,Activity Start Date,Activity End Date,Partner Organization(s),,,,,,,,,,,,,,,
ASARECA,3.1.2.8,,1.2,,,,,,fish,Economic and policy technology|Fishery technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Fish production,,,,,,,,,,,,,,,,,,
ASARECA,3.1.2.9,,1.2,,,,,,fish,Fishery technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Fish production,,,,,,,,,,,,,,,,,,
ASARECA,3.1.2.10,,1.2,,,,,,fish,Fishery technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Fish genetic resources and Breeding,,,,,,,,,,,,,,,,,,
ASARECA,3.1.3.8,,1.3,,,,,,fish,Fishery technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Fish diseases and Control,,,,,,,,,,,,,,,,,,
ASARECA,3.1.3.9,,1.3,,,,,,fish,Fishery technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Aquaculture,,,,,,,,,,,,,,,,,,
ASARECA,3.1.4.1,,1.4,,,,,,cattle|goats|sheep|fish,Economic and policy technology|Education technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Fish production,,,,,,,,,,,,,,,,,,
ASARECA,3.1.4.2,,1.4,,,,,,cattle|goats|sheep|fish,Economic and policy technology|Education technology|Breeding technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Capacity building,,,,,,,,,,,,,,,,,,
ASARECA,3.1.4.3,,1.4,,,,,,cattle|goats|sheep|fish,Economic and policy technology,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Mechanization,,,,,,,,,,,,,,,,,,
ASARECA,3.4.1.1,,4.1,,,,,,cattle|goats|sheep|fish,Climate information and advisory service,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Climate change,,,,,,,,,,,,,,,,,,
ASARECA,3.4.1.2,,4.1,,,,,,cattle|goats|sheep|fish,Education technology|Climate information and advisory service,,,,ASARECA,international ngo,http://www.asareca.org/sites/default/files/asarecaLFPstrategy.PDF; http://www.asareca.org/researchdir/FILES/LIVESTOCK___FISH_PROGRAM_PROFIL.PDF,,,,Climate change,,,,,,,,,,,,,,,,,,
ASARECA,1.2.4,,2,,,,,,rice|maize|wheat|sorghum|millet|banana|cassava|potato|sweet potato,Economic and policy technology|Education technology,,,,ASARECA,international ngo,http://www.asareca.org/docs/STAPLE_CROPS_STRATEGY.pdf; http://www.asareca.org/researchdir/FILES/STAPLE_CROPS_PROFILE.PDF,,,,Productivity improvement,,,,,,,,,,,,,,,,,,
ASARECA,1.3.1,,3,,,,,,rice|maize|wheat|sorghum|millet|banana|cassava|potato|sweet potato,Economic and policy technology,,,,ASARECA,international ngo,http://www.asareca.org/docs/STAPLE_CROPS_STRATEGY.pdf; http://www.asareca.org/researchdir/FILES/STAPLE_CROPS_PROFILE.PDF,,,,Productivity improvement,,,,,,,,,,,,,,,,,,
